NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CYCS	912	1.2349885702133179	-0.033686075	No	
row_1	SDHD	1286	0.9995005130767822	-0.038321078	No	
row_2	MT-ND4L	3089	0.4866723120212555	-0.14100437	No	
row_3	ATP5PF	3359	0.4446445405483246	-0.14945397	No	
row_4	C2orf69	3538	0.4170430302619934	-0.15277407	No	
row_5	MT-CO1	3633	0.4022276997566223	-0.15116204	No	
row_6	MT-CO2	3738	0.38864922523498535	-0.15042087	No	
row_7	MT-CYB	3822	0.3760104775428772	-0.14861192	No	
row_8	NDUFA5	3833	0.37444835901260376	-0.1423075	No	
row_9	MT-ND2	4165	0.3299056887626648	-0.15672141	No	
row_10	MT-ND5	4604	0.27785181999206543	-0.17872941	No	
row_11	SDHC	4759	0.263069748878479	-0.18340929	No	
row_12	MT-ATP6	4792	0.25860536098480225	-0.18061051	No	
row_13	MT-ND6	4794	0.25836628675460815	-0.17589486	No	
row_14	NDUFC2	4859	0.25171375274658203	-0.17520678	No	
row_15	MT-ATP8	5151	0.2224419116973877	-0.18912877	No	
row_16	MT-ND4	5153	0.22208230197429657	-0.18508407	No	
row_17	MT-ND1	5386	0.19833603501319885	-0.1957952	No	
row_18	UQCRHL	5675	0.17194007337093353	-0.21046513	No	
row_19	MT-ND3	6189	0.1300041377544403	-0.23985536	No	
row_20	ATP5MG	6937	0.08016981929540634	-0.28466976	No	
row_21	NDUFAF1	6952	0.07950533926486969	-0.28406724	No	
row_22	NDUFA12	7351	0.05143963545560837	-0.30778292	No	
row_23	UQCRB	7682	0.030921971425414085	-0.32766354	No	
row_24	NDUFS1	8117	0.0052895983681082726	-0.3544638	No	
row_25	NDUFV2	8424	-0.010523185133934021	-0.37323418	No	
row_26	ATP5PO	9566	-0.08310981094837189	-0.44241318	No	
row_27	SLC25A51	9635	-0.08787409216165543	-0.44500268	No	
row_28	NDUFA6	10446	-0.1456620842218399	-0.49251056	No	
row_29	NDUFB8	10534	-0.15292681753635406	-0.4950747	No	
row_30	MT-CO3	10647	-0.16144399344921112	-0.49903074	No	
row_31	COX6C	11059	-0.19466683268547058	-0.5209036	No	
row_32	NDUFS4	11453	-0.22738035023212433	-0.541056	No	
row_33	SDHB	11876	-0.2672373652458191	-0.5622686	No	
row_34	NDUFV3	11952	-0.27351123094558716	-0.5618592	No	
row_35	ATP5PD	11997	-0.2789314389228821	-0.5594283	No	
row_36	NDUFA9	12072	-0.2866309881210327	-0.5587143	No	
row_37	ATP5F1C	12338	-0.3167077600955963	-0.56928176	No	
row_38	NDUFA1	12467	-0.33255553245544434	-0.5710653	Yes	
row_39	NDUFB6	12468	-0.33272242546081543	-0.56491274	Yes	
row_40	UQCRFS1	12533	-0.34095463156700134	-0.56257445	Yes	
row_41	NDUFB2	12692	-0.3603968322277069	-0.56570244	Yes	
row_42	ATP5ME	12743	-0.36724570393562317	-0.56201035	Yes	
row_43	ATP5PB	12768	-0.3690096139907837	-0.5566742	Yes	
row_44	UQCRQ	12877	-0.38256633281707764	-0.5562934	Yes	
row_45	COX7A2	12892	-0.38453423976898193	-0.5500504	Yes	
row_46	UQCRH	13123	-0.4154001772403717	-0.5566237	Yes	
row_47	NDUFS5	13138	-0.4168161451816559	-0.5497837	Yes	
row_48	NDUFA8	13202	-0.4266916513442993	-0.54579806	Yes	
row_49	ATP5MF	13236	-0.4317689538002014	-0.5398592	Yes	
row_50	NDUFA13	13361	-0.4498157501220703	-0.5392265	Yes	
row_51	COX7C	13412	-0.4588407874107361	-0.5338406	Yes	
row_52	COX7B	13439	-0.4626926779747009	-0.526896	Yes	
row_53	NDUFA4	13540	-0.4788598120212555	-0.5242388	Yes	
row_54	COX6B1	13594	-0.48548540472984314	-0.51854616	Yes	
row_55	NDUFB5	13641	-0.4929925799369812	-0.5122808	Yes	
row_56	NDUFB3	13774	-0.5178016424179077	-0.5108868	Yes	
row_57	ATP5F1D	13839	-0.5295959115028381	-0.5050602	Yes	
row_58	UQCRC1	13942	-0.5476832985877991	-0.50125426	Yes	
row_59	NDUFA10	14043	-0.5660066604614258	-0.49698558	Yes	
row_60	ATP5F1E	14069	-0.5711889863014221	-0.48797277	Yes	
row_61	UQCC3	14082	-0.5750366449356079	-0.4780831	Yes	
row_62	UQCR10	14188	-0.5969525575637817	-0.47355202	Yes	
row_63	UQCRC2	14198	-0.5990803837776184	-0.46303183	Yes	
row_64	NDUFS2	14224	-0.6048189997673035	-0.45339713	Yes	
row_65	NDUFA11	14248	-0.6095991134643555	-0.4435501	Yes	
row_66	NDUFA3	14283	-0.6184234023094177	-0.43422163	Yes	
row_67	NDUFS6	14319	-0.6245778799057007	-0.42484134	Yes	
row_68	COX6A2	14426	-0.64548259973526	-0.41947484	Yes	
row_69	NDUFS8	14525	-0.6686894297599792	-0.41318342	Yes	
row_70	NDUFB4	14592	-0.6866947412490845	-0.40457577	Yes	
row_71	NDUFV1	14662	-0.7039334774017334	-0.39583528	Yes	
row_72	NDUFS7	14779	-0.739261269569397	-0.38935444	Yes	
row_73	NDUFB1	14867	-0.7628816962242126	-0.38063946	Yes	
row_74	COX8A	14906	-0.778810977935791	-0.36859307	Yes	
row_75	COX7A1	14957	-0.7939625978469849	-0.35701025	Yes	
row_76	COX5A	15180	-0.871921718120575	-0.35464585	Yes	
row_77	SDHAF2	15226	-0.895648717880249	-0.34087276	Yes	
row_78	UQCRFS1P1	15235	-0.9010989665985107	-0.32470575	Yes	
row_79	COX6A1	15277	-0.9186834096908569	-0.3102588	Yes	
row_80	ATP5F1B	15450	-1.0001071691513062	-0.3024252	Yes	
row_81	COX5B	15486	-1.0249725580215454	-0.28564095	Yes	
row_82	NDUFAB1	15596	-1.0977438688278198	-0.27209732	Yes	
row_83	NDUFB7	15624	-1.1173350811004639	-0.2531093	Yes	
row_84	UQCR11	15653	-1.1339805126190186	-0.23387547	Yes	
row_85	NDUFB9	15778	-1.240483283996582	-0.218622	Yes	
row_86	CYC1	15855	-1.32638680934906	-0.19880515	Yes	
row_87	ATP5F1A	15885	-1.359747052192688	-0.17545848	Yes	
row_88	NDUFB11	15907	-1.3852272033691406	-0.15114482	Yes	
row_89	NDUFC1	15915	-1.3990554809570312	-0.12570778	Yes	
row_90	SDHA	15924	-1.413384199142456	-0.10006775	Yes	
row_91	COX4I1	15931	-1.4225761890411377	-0.0741338	Yes	
row_92	NDUFA2	15950	-1.4472177028656006	-0.0484879	Yes	
row_93	NDUFS3	15974	-1.4796961545944214	-0.022551311	Yes	
row_94	NDUFB10	16155	-2.070848226547241	0.0045862724	Yes	
